GIRO D'ABRUZZO JUNIORES 2026 TERZA TAPPA | 2026-05-03 | x2 | keyword_match
GIRO D'ABRUZZO JUNIORES 2026 CLASSIFICA GENERALE | 2026-05-03 | x3 | keyword_match+classifica_finale
12 MEMORIAL DANIELE TORTOLI | 2026-05-03 | x1 | no_match
72 TROFEO FRARE DE NARDI | 2026-05-03 | x1 | no_match
1 COPPA DELLE BORGATE | 2026-05-03 | x1 | no_match
1 COPPA DELLE BORGATE | 2026-05-03 | x1 | no_match
67 GRAN PREMIO U C A T | 2026-05-03 | x1 | no_match
24 GRAN PREMIO ROSA CITTA' DI BOVOLONE | 2026-05-03 | x1 | no_match
24 GRAN PREMIO ROSA CITTA' DI BOVOLONE | 2026-05-03 | x1 | no_match
24 GRAN PREMIO ROSA CITTA' DI BOVOLONE DONNE ESORDIENTI PRIMO ANNO | 2026-05-03 | x1 | no_match
24 GRAN PREMIO ROSA CITTA' DI BOVOLONE DONNE ESORDIENTI SECONDO ANNO | 2026-05-03 | x1 | no_match
65 GRAN PREMIO ALESSANDRO FANTINI | 2026-05-03 | x1 | no_match
38 GRAN PREMIO CITTA' DI ZOLA DIECI COLLI GIOVANI | 2026-05-03 | x1 | no_match
6 GRAN PREMIO IMPRESA SERGIO ZANETTE | 2026-05-03 | x1 | no_match
GRAN PREMIO CAMPI ENERGIE 2026 MEMORIAL FORTUNA 2026 | 2026-05-03 | x1 | no_match
51 TROFEO COMUNE DI GUSSAGO STRADE BIANCHE DELLA CONTEA | 2026-05-03 | x1 | no_match
TROFEO AUTOFFICINA GALBIATI | 2026-05-03 | x1 | no_match
LA STORICA COPPA DE LE POGGIOLA | 2026-05-03 | x1 | no_match
MEDIO FONDO ALCAMO GIBELLINA | 2026-05-03 | x1 | no_match
65 GRAN PREMIO A FANTINI GARA UNICA | 2026-05-03 | x1 | no_match
65 GRAN PREMIO A FANTINI GARA UNICA | 2026-05-03 | x1 | no_match
MEMORIAL LORIS FORTUNA 2026 GARA UNICA | 2026-05-03 | x1 | no_match
MEMORIAL LORIS FORTUNA 2026 GARA UNICA | 2026-05-03 | x1 | no_match
2 TROFEO CITTA' DI OVADA GARA UNICA | 2026-05-03 | x1 | no_match
2 TROFEO CITTA' DI OVADA GARA UNICA | 2026-05-03 | x1 | no_match
TROFEO UNA VITA PER LA BRUGHERIO SPORTIVA GARA UNICA | 2026-05-03 | x1 | no_match
TROFEO UNA VITA PER LA BRUGHERIO SPORTIVA GARA UNICA | 2026-05-03 | x1 | no_match
1 COPPA DELLE BORGATE GARA UNICA | 2026-05-03 | x1 | no_match
1 COPPA DELLE BORGATE GARA UNICA | 2026-05-03 | x1 | no_match
MEDIO FONDO ALCAMO GIBELLINA GARA UNICA | 2026-05-03 | x1 | no_match
MEDIO FONDO ALCAMO GIBELLINA GARA UNICA | 2026-05-03 | x1 | no_match
51 GRAN PREMIO LEIBALLI CUZZUOL | 2026-05-03 | x1 | no_match
51 GRAN PREMIO LEIBALLI CUZZUOL | 2026-05-03 | x1 | no_match
14 TROFEO MAURIGI | 2026-05-03 | x1 | no_match
14 TROFEO MAURIGI | 2026-05-03 | x1 | no_match
LA STORICA COPPA DE LE POGGIOLA | 2026-05-03 | x1 | no_match
LA STORICA COPPA DE LE POGGIOLA | 2026-05-03 | x1 | no_match
GIRO D'ABRUZZO JUNIORES 2026 SECONDA TAPPA | 2026-05-02 | x2 | keyword_match
2 TROFEO ROSA MONTALTO PROVA VALIDA CAMPIONATO REGIONALE | 2026-05-02 | x2 | keyword_match
2 TROFEO ROSA MONTALTO PROVA VALIDA CAMPIONATO REGIONALE | 2026-05-02 | x2 | keyword_match
2 TROFEO ROSA MONTALTO PROVA VALIDA CAMPIONATO REGIONALE | 2026-05-02 | x2 | keyword_match
2 TROFEO ROSA MONTALTO PROVA VALIDA CAMPIONATO REGIONALE DONNE ESORDIENTI PRIMO ANNO | 2026-05-02 | x2 | keyword_match
2 TROFEO ROSA MONTALTO PROVA VALIDA CAMPIONATO REGIONALE DONNE ESORDIENTI SECONDO ANNO | 2026-05-02 | x2 | keyword_match
GIRO D'ABRUZZO JUNIORES 2026 PRIMA TAPPA | 2026-05-01 | x2 | keyword_match
7 GRAN PREMIO GENERAL STORE | 2026-05-01 | x1 | no_match
50 TROFEO PAPA' CERVI | 2026-05-01 | x1 | no_match
57 COPPA PENNA | 2026-05-01 | x1 | no_match
69 GRAN PREMIO DI SAN PROSPERO | 2026-05-01 | x1 | no_match
57 GRAN PREMIO SPORTIVI DI BADOERE | 2026-05-01 | x1 | no_match
46 COPPA CITTA' DI CANTU' | 2026-05-01 | x1 | no_match
69 COPPA 1 MAGGIO | 2026-05-01 | x1 | no_match
4 TROFEO ROSA CITTA' DI CANTU' | 2026-05-01 | x1 | no_match
TROFEO COMUNE DI ILLASI | 2026-05-01 | x1 | no_match
3 TROFEO P E K NEW ELECTRIC | 2026-05-01 | x1 | no_match
TROFEO COMUNE DI ILLASI DONNE ESORDIENTI PRIMO ANNO | 2026-05-01 | x1 | no_match
TROFEO COMUNE DI ILLASI DONNE ESORDIENTI SECONDO ANNO | 2026-05-01 | x1 | no_match
3 TROFEO P E K NEW ELECTRIC DONNE ESORDIENTI PRIMO ANNO | 2026-05-01 | x1 | no_match
3 TROFEO P E K NEW ELECTRIC DONNE ESORDIENTI SECONDO ANNO | 2026-05-01 | x1 | no_match
81 GRAN PREMIO CADUTI LIBERAZIONE | 2026-05-01 | x1 | no_match
TROFEO COMUNE DI ILLASI | 2026-05-01 | x1 | no_match
12 MEMORIAL NICOLA TINCANI | 2026-05-01 | x1 | no_match
26 MEMORIAL MARCELLO PERICO 1 TROFEO CITTA' DI SERIATE | 2026-05-01 | x1 | no_match
11 MEMORIAL MARIO BIANCO | 2026-05-01 | x1 | no_match
31 TROFEO S FRANCESCO | 2026-05-01 | x1 | no_match
7 TROFEO GIORNATA DEL CICLISMO MANZANESE PROVA VALIDA CAMPIONATO REGIONALE | 2026-05-01 | x2 | keyword_match
78 COPPA LAVORATORI | 2026-05-01 | x1 | no_match
57 COPPA CIRCOLO ARCI RENZINO | 2026-05-01 | x1 | no_match
81 GRAN PREMIO CADUTI LIBERAZIONE GARA UNICA | 2026-05-01 | x1 | no_match
81 GRAN PREMIO CADUTI LIBERAZIONE GARA UNICA | 2026-05-01 | x1 | no_match
TROFEO COMUNE DI ILLASI GARA UNICA | 2026-05-01 | x1 | no_match
TROFEO COMUNE DI ILLASI GARA UNICA | 2026-05-01 | x1 | no_match
11 MEMORIAL MARIO BIANCO GARA UNICA | 2026-05-01 | x1 | no_match
11 MEMORIAL MARIO BIANCO GARA UNICA | 2026-05-01 | x1 | no_match
26 TROFEO PADRE GIUSEPPE GARA UNICA PROVA VALIDA CAMPIONATO REGIONALE | 2026-05-01 | x2 | keyword_match
26 TROFEO PADRE GIUSEPPE GARA UNICA PROVA VALIDA CAMPIONATO REGIONALE | 2026-05-01 | x2 | keyword_match
2 TROFEO TORRETTA PAOLO A M GARA UNICA | 2026-05-01 | x1 | no_match
2 TROFEO TORRETTA PAOLO A M GARA UNICA | 2026-05-01 | x1 | no_match
TROFEI FARM VIGILANTI CAMA | 2026-05-01 | x1 | no_match
TROFEO TIEFFE SNC DI SETTEN E C | 2026-05-01 | x1 | no_match
42 COPPA DEI LAVORATORI | 2026-05-01 | x1 | no_match
42 COPPA DEI LAVORATORI | 2026-05-01 | x1 | no_match
7 TROFEO GIORNATA DEL CICLISMO MANZANESE | 2026-05-01 | x1 | no_match
7 TROFEO GIORNATA DEL CICLISMO MANZANESE | 2026-05-01 | x1 | no_match
22 TROFEO ARMANNI GIUSEPPE E FERRARI ONORINA | 2026-05-01 | x1 | no_match
22 TROFEO ARMANNI CARRELLI ELEVATORI | 2026-05-01 | x1 | no_match
15 GIRO DI PRIMAVERA | 2026-04-26 | x1 | no_match
82 VICENZA BIONDE UNDER23 | 2026-04-26 | x1 | no_match
19 TROFEO MG TUNING | 2026-04-26 | x1 | no_match
19 TROFEO MG TUNING | 2026-04-26 | x1 | no_match
COPPA 1 MAGGIO DEL CERAMISTA | 2026-04-26 | x1 | no_match
4 GRAN PREMIO SAN LEOLINO | 2026-04-26 | x1 | no_match
2 MEDIOFONDO DI BISACQUINO | 2026-04-26 | x1 | no_match
GRAN REMIO PRIMAVERA A MASER PROVA VALIDA CAMPIONATO REGIONALE | 2026-04-26 | x2 | keyword_match
52 TROFEO DANTE SILVELLI A M | 2026-04-26 | x1 | no_match
44 CIRCUITO DEL BOSCO | 2026-04-26 | x1 | no_match
6 MEMORIAL CLAUDIA | 2026-04-26 | x1 | no_match
2 MEDIOFONDO DI BISACQUINO | 2026-04-26 | x1 | no_match
4 TROFEO PECSO CAVI | 2026-04-26 | x1 | no_match
3 TROFEO BACCI FABIO ALLA MEMORIA | 2026-04-26 | x1 | no_match
3 TROFEO RAGGIO DI SOLE | 2026-04-26 | x1 | no_match
3 TROFEO RAGGIO DI SOLE GARA UNICA | 2026-04-26 | x1 | no_match
3 TROFEO RAGGIO DI SOLE GARA UNICA | 2026-04-26 | x1 | no_match
19 TROFEO MG TUNING GARA UNICA | 2026-04-26 | x1 | no_match
